clave_entidad,entidad,clave_municipio,municipio,poblacion
01,Aguascalientes,001,Aguascalientes,948990
01,Aguascalientes,002,Asientos,51536
01,Aguascalientes,003,Calvillo,58250
01,Aguascalientes,004,Cosío,17000
01,Aguascalientes,005,Jesús María,129929
01,Aguascalientes,006,Pabellón de Arteaga,47646
01,Aguascalientes,007,Rincón de Romos,57369
01,Aguascalientes,008,San José de Gracia,9552
01,Aguascalientes,009,Tepezalá,22485
01,Aguascalientes,010,El Llano,20853
01,Aguascalientes,011,San Francisco de los Romo,61997
02,Baja California,001,Ensenada,443807
02,Baja California,002,Mexicali,1049792
02,Baja California,003,Tecate,108440
02,Baja California,004,Tijuana,1922523
02,Baja California,005,Playas de Rosarito,126890
02,Baja California,006,San Quintín,117568
03,Baja California Sur,001,Comondú,73021
03,Baja California Sur,002,Mulegé,64022
03,Baja California Sur,003,La Paz,292241
03,Baja California Sur,008,Los Cabos,351111
03,Baja California Sur,009,Loreto,18052
04,Campeche,001,Calkiní,59232
04,Campeche,002,Campeche,294077
04,Campeche,003,Carmen,248845
04,Campeche,004,Champotón,78170
04,Campeche,005,Hecelchakán,31917
04,Campeche,006,Hopelchén,42140
04,Campeche,007,Palizada,8683
04,Campeche,008,Tenabo,11452
04,Campeche,009,Escárcega,59923
04,Campeche,010,Calakmul,31714
04,Campeche,011,Candelaria,46913
04,Campeche,012,Seybaplaya,15297
08,Chihuahua,001,Ahumada,14635
08,Chihuahua,002,Aldama,26047
08,Chihuahua,003,Allende,8487
08,Chihuahua,004,Aquiles Serdán,24344
08,Chihuahua,005,Ascensión,26093
08,Chihuahua,006,Bachíniva,5807
08,Chihuahua,007,Balleza,16440
08,Chihuahua,008,Batopilas de Manuel Gómez Morín,11270
08,Chihuahua,009,Bocoyna,23351
08,Chihuahua,010,Buenaventura,25146
08,Chihuahua,011,Camargo,49499
08,Chihuahua,012,Carichí,8113
08,Chihuahua,013,Casas Grandes,11815
08,Chihuahua,014,Coronado,2034
08,Chihuahua,015,Coyame del Sotol,1230
08,Chihuahua,016,La Cruz,3704
08,Chihuahua,017,Cuauhtémoc,180638
08,Chihuahua,018,Cusihuiriachi,5099
08,Chihuahua,019,Chihuahua,937674
08,Chihuahua,020,Chínipas,6222
08,Chihuahua,021,Delicias,150506
08,Chihuahua,022,Dr. Belisario Domínguez,2456
08,Chihuahua,023,Galeana,6656
08,Chihuahua,024,Santa Isabel,3791
08,Chihuahua,025,Gómez Farías,7023
08,Chihuahua,026,Gran Morelos,2448
08,Chihuahua,027,Guachochi,50180
08,Chihuahua,028,Guadalupe,4237
08,Chihuahua,029,Guadalupe y Calvo,50514
08,Chihuahua,030,Guazapares,8196
08,Chihuahua,031,Guerrero,35473
08,Chihuahua,032,Hidalgo del Parral,116662
08,Chihuahua,033,Huejotitán,824
08,Chihuahua,034,Ignacio Zaragoza,5196
08,Chihuahua,035,Janos,11005
08,Chihuahua,036,Jiménez,40859
08,Chihuahua,037,Juárez,1512450
08,Chihuahua,038,Julimes,4980
08,Chihuahua,039,López,4122
08,Chihuahua,040,Madera,25144
08,Chihuahua,041,Maguarichi,1302
08,Chihuahua,042,Manuel Benavides,1178
08,Chihuahua,043,Matachí,2742
08,Chihuahua,044,Matamoros,4314
08,Chihuahua,045,Meoqui,44853
08,Chihuahua,046,Morelos,7266
08,Chihuahua,047,Moris,4447
08,Chihuahua,048,Namiquipa,22712
08,Chihuahua,049,Nonoava,2757
08,Chihuahua,050,Nuevo Casas Grandes,65753
08,Chihuahua,051,Ocampo,8127
08,Chihuahua,052,Ojinaga,24534
08,Chihuahua,053,Praxedis G. Guerrero,5111
08,Chihuahua,054,Riva Palacio,7695
08,Chihuahua,055,Rosales,16776
08,Chihuahua,056,Rosario,2079
08,Chihuahua,057,San Francisco de Borja,2197
08,Chihuahua,058,San Francisco de Conchos,2696
08,Chihuahua,059,San Francisco del Oro,5004
08,Chihuahua,060,Santa Bárbara,11582
08,Chihuahua,061,Satevó,3414
08,Chihuahua,062,Saucillo,29862
08,Chihuahua,063,Temósachic,5320
