isodate,entidad,delito,total
2015-01-01,Nacional,Homicidio doloso,1354
2015-02-01,Nacional,Homicidio doloso,1388
2015-03-01,Nacional,Homicidio doloso,1379
2015-04-01,Nacional,Homicidio doloso,1442
2015-05-01,Nacional,Homicidio doloso,1601
2015-06-01,Nacional,Homicidio doloso,1466
2015-07-01,Nacional,Homicidio doloso,1539
2015-08-01,Nacional,Homicidio doloso,1674
2015-09-01,Nacional,Homicidio doloso,1503
2015-10-01,Nacional,Homicidio doloso,1464
2015-11-01,Nacional,Homicidio doloso,1580
2015-12-01,Nacional,Homicidio doloso,1494
2015-01-01,Nacional,Homicidio culposo,1494
2015-02-01,Nacional,Homicidio culposo,1443
2015-03-01,Nacional,Homicidio culposo,1435
2015-04-01,Nacional,Homicidio culposo,1411
2015-05-01,Nacional,Homicidio culposo,1538
2015-06-01,Nacional,Homicidio culposo,1326
2015-07-01,Nacional,Homicidio culposo,1400
2015-08-01,Nacional,Homicidio culposo,1412
2015-09-01,Nacional,Homicidio culposo,1322
2015-10-01,Nacional,Homicidio culposo,1409
2015-11-01,Nacional,Homicidio culposo,1423
2015-12-01,Nacional,Homicidio culposo,1491
2015-01-01,Nacional,Lesiones dolosas,11178
2015-02-01,Nacional,Lesiones dolosas,11597
2015-03-01,Nacional,Lesiones dolosas,12644
2015-04-01,Nacional,Lesiones dolosas,13423
2015-05-01,Nacional,Lesiones dolosas,14165
2015-06-01,Nacional,Lesiones dolosas,13649
2015-07-01,Nacional,Lesiones dolosas,12968
2015-08-01,Nacional,Lesiones dolosas,13175
2015-09-01,Nacional,Lesiones dolosas,13315
2015-10-01,Nacional,Lesiones dolosas,13456
2015-11-01,Nacional,Lesiones dolosas,12323
2015-12-01,Nacional,Lesiones dolosas,11565
2015-01-01,Nacional,Lesiones culposas,5303
2015-02-01,Nacional,Lesiones culposas,5663
2015-03-01,Nacional,Lesiones culposas,6601
2015-04-01,Nacional,Lesiones culposas,6398
2015-05-01,Nacional,Lesiones culposas,6827
2015-06-01,Nacional,Lesiones culposas,6327
2015-07-01,Nacional,Lesiones culposas,6309
2015-08-01,Nacional,Lesiones culposas,6367
2015-09-01,Nacional,Lesiones culposas,6549
2015-10-01,Nacional,Lesiones culposas,6692
2015-11-01,Nacional,Lesiones culposas,6244
2015-12-01,Nacional,Lesiones culposas,6584
2015-01-01,Nacional,Feminicidio,33
2015-02-01,Nacional,Feminicidio,30
2015-03-01,Nacional,Feminicidio,33
2015-04-01,Nacional,Feminicidio,36
2015-05-01,Nacional,Feminicidio,28
2015-06-01,Nacional,Feminicidio,28
2015-07-01,Nacional,Feminicidio,37
2015-08-01,Nacional,Feminicidio,40
2015-09-01,Nacional,Feminicidio,44
2015-10-01,Nacional,Feminicidio,48
2015-11-01,Nacional,Feminicidio,31
2015-12-01,Nacional,Feminicidio,40
2015-01-01,Nacional,Otros delitos que atentan contra la vida y la integridad corporal,286
2015-02-01,Nacional,Otros delitos que atentan contra la vida y la integridad corporal,358
2015-03-01,Nacional,Otros delitos que atentan contra la vida y la integridad corporal,477
2015-04-01,Nacional,Otros delitos que atentan contra la vida y la integridad corporal,409
2015-05-01,Nacional,Otros delitos que atentan contra la vida y la integridad corporal,246
2015-06-01,Nacional,Otros delitos que atentan contra la vida y la integridad corporal,234
2015-07-01,Nacional,Otros delitos que atentan contra la vida y la integridad corporal,251
2015-08-01,Nacional,Otros delitos que atentan contra la vida y la integridad corporal,284
2015-09-01,Nacional,Otros delitos que atentan contra la vida y la integridad corporal,348
2015-10-01,Nacional,Otros delitos que atentan contra la vida y la integridad corporal,303
2015-11-01,Nacional,Otros delitos que atentan contra la vida y la integridad corporal,271
2015-12-01,Nacional,Otros delitos que atentan contra la vida y la integridad corporal,225
2015-01-01,Nacional,Secuestro,111
2015-02-01,Nacional,Secuestro,143
2015-03-01,Nacional,Secuestro,90
2015-04-01,Nacional,Secuestro,107
2015-05-01,Nacional,Secuestro,117
2015-06-01,Nacional,Secuestro,127
2015-07-01,Nacional,Secuestro,95
2015-08-01,Nacional,Secuestro,79
2015-09-01,Nacional,Secuestro,108
2015-10-01,Nacional,Secuestro,98
2015-11-01,Nacional,Secuestro,111
2015-12-01,Nacional,Secuestro,126
2015-01-01,Nacional,Tráfico de menores,10
2015-02-01,Nacional,Tráfico de menores,10
2015-03-01,Nacional,Tráfico de menores,12
2015-04-01,Nacional,Tráfico de menores,12
2015-05-01,Nacional,Tráfico de menores,7
2015-06-01,Nacional,Tráfico de menores,8
2015-07-01,Nacional,Tráfico de menores,9
2015-08-01,Nacional,Tráfico de menores,7
2015-09-01,Nacional,Tráfico de menores,3
2015-10-01,Nacional,Tráfico de menores,12
2015-11-01,Nacional,Tráfico de menores,7
2015-12-01,Nacional,Tráfico de menores,5
2015-01-01,Nacional,Rapto,27
2015-02-01,Nacional,Rapto,35
2015-03-01,Nacional,Rapto,26
2015-04-01,Nacional,Rapto,22
2015-05-01,Nacional,Rapto,40
2015-06-01,Nacional,Rapto,31
2015-07-01,Nacional,Rapto,33
2015-08-01,Nacional,Rapto,36
2015-09-01,Nacional,Rapto,33
2015-10-01,Nacional,Rapto,23
2015-11-01,Nacional,Rapto,32
2015-12-01,Nacional,Rapto,35
2015-01-01,Nacional,Otros delitos que atentan contra la libertad personal,1091
2015-02-01,Nacional,Otros delitos que atentan contra la libertad personal,916
2015-03-01,Nacional,Otros delitos que atentan contra la libertad personal,1067
2015-04-01,Nacional,Otros delitos que atentan contra la libertad personal,1080
2015-05-01,Nacional,Otros delitos que atentan contra la libertad personal,1080
2015-06-01,Nacional,Otros delitos que atentan contra la libertad personal,1004
2015-07-01,Nacional,Otros delitos que atentan contra la libertad personal,1222
2015-08-01,Nacional,Otros delitos que atentan contra la libertad personal,1194
2015-09-01,Nacional,Otros delitos que atentan contra la libertad personal,1226
2015-10-01,Nacional,Otros delitos que atentan contra la libertad personal,1146
2015-11-01,Nacional,Otros delitos que atentan contra la libertad personal,1185
2015-12-01,Nacional,Otros delitos que atentan contra la libertad personal,1015
2015-01-01,Nacional,Extorsión,444
2015-02-01,Nacional,Extorsión,562
2015-03-01,Nacional,Extorsión,532
2015-04-01,Nacional,Extorsión,571
2015-05-01,Nacional,Extorsión,569
2015-06-01,Nacional,Extorsión,538
2015-07-01,Nacional,Extorsión,535
2015-08-01,Nacional,Extorsión,491
2015-09-01,Nacional,Extorsión,484
2015-10-01,Nacional,Extorsión,543
2015-11-01,Nacional,Extorsión,472
2015-12-01,Nacional,Extorsión,482
2015-01-01,Nacional,Corrupción de menores,188
2015-02-01,Nacional,Corrupción de menores,196
2015-03-01,Nacional,Corrupción de menores,217
2015-04-01,Nacional,Corrupción de menores,176
2015-05-01,Nacional,Corrupción de menores,195
2015-06-01,Nacional,Corrupción de menores,219
2015-07-01,Nacional,Corrupción de menores,184
2015-08-01,Nacional,Corrupción de menores,157
2015-09-01,Nacional,Corrupción de menores,187
2015-10-01,Nacional,Corrupción de menores,248
2015-11-01,Nacional,Corrupción de menores,157
2015-12-01,Nacional,Corrupción de menores,132
2015-01-01,Nacional,Trata de personas,130
2015-02-01,Nacional,Trata de personas,76
2015-03-01,Nacional,Trata de personas,122
2015-04-01,Nacional,Trata de personas,82
2015-05-01,Nacional,Trata de personas,66
2015-06-01,Nacional,Trata de personas,64
2015-07-01,Nacional,Trata de personas,47
2015-08-01,Nacional,Trata de personas,309
2015-09-01,Nacional,Trata de personas,28
2015-10-01,Nacional,Trata de personas,131
2015-11-01,Nacional,Trata de personas,72
2015-12-01,Nacional,Trata de personas,44
2015-01-01,Nacional,Otros delitos contra la sociedad,307
